familyid,ethnicgroup,length_of_residence,owner_renter_status,vacant,bathroom_cnt,bedroom_cnt,latitude,longitude
000106617324,H,01,9,0,0,0,034.136130,-118.143490
000106679098,N,28,1,0,,,033.840970,-118.061580
000106273271,H,25,9,0,2,4,034.699330,-118.139060
000106308511,C,24,9,0,2,3,033.797980,-118.117640
000106431883,I,19,5,0,3,3,034.408210,-118.440980
000106455462,H,15,2,0,0,0,033.758820,-118.406430
000078016440,B,02,3,0,,,034.052420,-118.348569
000106588022,H,16,4,0,,,033.950230,-117.971700
000106634477,S,14,9,0,0,0,034.042760,-118.401970
000106657576,H,48,9,0,1,2,034.113783,-117.773502
000106363979,E,05,4,0,4,5,033.763931,-118.303947
000039289524,H,16,9,0,,,034.432340,-118.543310
000106412089,H,15,3,0,,,034.006810,-118.407310
000106149898,H,26,3,0,,,033.868780,-118.291270
000106345320,H,16,3,0,,,034.068270,-117.819310
000100211772,J,15,9,0,,,034.076519,-118.302304
000106676244,H,16,9,0,,,034.268120,-118.320780
000106455975,S,16,1,0,0,0,034.067489,-118.349908
000105881617,H,21,2,0,,,034.161180,-118.503850
000106031897,H,14,9,0,0,0,034.217430,-118.515160
000106306043,H,23,4,0,,,034.411335,-118.502674
000106099839,E,10,4,0,,,034.429130,-118.623460
000105860358,H,14,8,0,4,4,034.384078,-118.573738
000105991288,D,25,6,0,3,5,034.410890,-118.580330
000105823939,L,19,9,0,,,034.169570,-118.464570
000106522529,H,02,5,0,2,3,034.442800,-118.540370
000105935418,H,33,9,0,,,034.148120,-118.386310
000010927100,H,15,9,0,2,4,033.999690,-118.449890
000079952391,H,19,1,0,2,3,034.049890,-118.341160
000106362313,C,06,5,0,1,2,034.045951,-118.450360
000105824859,H,17,7,0,,,033.768640,-118.385840
000105939491,H,08,9,0,3,5,033.980610,-118.467230
000105792070,D,16,2,0,2,3,033.891021,-118.412784
000081180278,D,02,9,0,0,0,034.102830,-118.375010
000106079767,S,03,4,0,0,0,034.151500,-118.416330
000106453245,H,05,3,0,0,0,034.161650,-118.043140
000106275257,H,24,9,0,0,0,034.164050,-118.242680
000105883818,I,33,8,0,,,034.177220,-118.667270
000105972510,E,19,5,0,2,4,034.143310,-118.453920
