timestamp,visitors,city,region,country,longitude,latitude,lcc_description
2012-01-01 16:00:00,1,Montreal,Quebec,Canada,-73.55419999999998,45.5089,Military Science
2012-01-01 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,History Of The Americas
2012-01-01 10:00:00,1,Edinburgh,Scotland,United Kingdom,-3.1875,55.9502,Social Sciences
2012-01-01 18:00:00,1,Plymouth,England,United Kingdom,-4.1427,50.3704,
2012-01-01 09:00:00,1,Edinburgh,Scotland,United Kingdom,-3.1875,55.9502,Social Sciences
2012-01-01 09:00:00,1,Edinburgh,Scotland,United Kingdom,-3.1875,55.9502,Science
2012-01-01 04:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,Medicine
2012-01-01 14:00:00,1,St John,New Brunswick,Canada,-66.0648,45.2732,Language And Literature
2012-01-01 15:00:00,1,Bristol,England,United Kingdom,-2.5919,51.4553,Philosophy. Psychology. Religion
2012-01-01 18:00:00,1,Plymouth,England,United Kingdom,-4.1427,50.3704,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-01 18:00:00,1,Plymouth,England,United Kingdom,-4.1427,50.3704,Language And Literature
2012-01-01 14:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-02 13:00:00,1,Summerside,Prince Edward Island,Canada,-63.7903,46.3932,
2012-01-02 17:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Fine Arts
2012-01-02 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-02 22:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-02 18:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-02 08:00:00,1,Brentford,England,United Kingdom,-0.3094,51.4865,Language And Literature
2012-01-02 20:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Education
2012-01-02 00:00:00,1,Mississauga,Ontario,Canada,-79.6264,43.5486,Social Sciences
2012-01-02 15:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-02 01:00:00,1,North Vancouver,British Columbia,Canada,-123.0682,49.3196,Bibliography. Library Science. Information Resources (General)
2012-01-03 10:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,History Of The Americas
2012-01-03 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Language And Literature
2012-01-03 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Social Sciences
2012-01-03 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Language And Literature
2012-01-03 09:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-03 14:00:00,1,Ottawa,Ontario,Canada,-75.6982,45.4116,Language And Literature
2012-01-03 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Language And Literature
2012-01-03 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Language And Literature
2012-01-03 15:00:00,1,Ottawa,Ontario,Canada,-75.6982,45.4116,Language And Literature
2012-01-03 12:00:00,1,Kensington,England,United Kingdom,-0.1909,51.5019,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-03 05:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Social Sciences
2012-01-03 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Language And Literature
2012-01-03 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-03 12:00:00,1,Kensington,England,United Kingdom,-0.1909,51.5019,Law
2012-01-03 14:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-03 14:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-03 17:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-03 01:00:00,1,Calgary,Alberta,Canada,-114.0572,51.045,Language And Literature
2012-01-03 16:00:00,1,Flin Flon,Manitoba,Canada,-101.8495,54.769,Education
2012-01-03 07:00:00,1,Middlesbrough,England,United Kingdom,-1.2379,54.573,Social Sciences
2012-01-03 15:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-03 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-03 16:00:00,1,Waterloo,Ontario,Canada,-80.5377,43.4809,
2012-01-03 12:00:00,1,Kensington,England,United Kingdom,-0.1909,51.5019,Law
2012-01-03 15:00:00,1,Burnaby,British Columbia,Canada,-122.9738,49.2489,Social Sciences
2012-01-04 09:00:00,1,Stoke on Trent,England,United Kingdom,-2.1766,53.0265,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-04 21:00:00,1,Port Alberni,British Columbia,Canada,-124.8069,49.2504,Music And Books On Music
2012-01-04 07:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Fine Arts
2012-01-04 18:00:00,1,Yarm,England,United Kingdom,-1.3578,54.5035,Social Sciences
2012-01-04 16:00:00,1,Ste-Foy,Quebec,Canada,-71.3,46.7833,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-04 10:00:00,1,Montreal,Quebec,Canada,-73.55419999999998,45.5089,Bibliography. Library Science. Information Resources (General)
2012-01-04 10:00:00,1,Kitchener,Ontario,Canada,-80.4777,43.4343,Bibliography. Library Science. Information Resources (General)
2012-01-04 14:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-04 14:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-04 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-04 18:00:00,1,Sault Sainte Marie,Ontario,Canada,-84.34999999999998,46.53,Law
2012-01-04 17:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Geography. Anthropology. Recreation
2012-01-04 03:00:00,1,Ottawa,Ontario,Canada,-75.6982,45.4116,Language And Literature
2012-01-04 13:00:00,1,Ottawa,Ontario,Canada,-75.6982,45.4116,Language And Literature
2012-01-04 00:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Education
2012-01-04 14:00:00,1,Edmonton,Alberta,Canada,-113.4905,53.5436,Education
2012-01-04 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Law
2012-01-04 07:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Bibliography. Library Science. Information Resources (General)
2012-01-04 07:00:00,1,London,England,United Kingdom,-0.0889,51.5133,
2012-01-04 09:00:00,1,Moncton,New Brunswick,Canada,-64.8031,46.1158,
2012-01-04 07:00:00,1,London,England,United Kingdom,-0.0889,51.5133,General Works
2012-01-04 11:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-04 10:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-04 10:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-04 16:00:00,1,Regina,Saskatchewan,Canada,-104.61,50.45,Social Sciences
2012-01-04 23:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-04 15:00:00,1,Montreal,Quebec,Canada,-73.55419999999998,45.5089,Social Sciences
2012-01-05 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-05 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Agriculture
2012-01-05 13:00:00,1,Edmonton,Alberta,Canada,-113.4905,53.5436,
2012-01-05 15:00:00,1,Liverpool,England,United Kingdom,-2.9778,53.4108,Political Science
2012-01-05 08:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Social Sciences
2012-01-05 17:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-05 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Law
2012-01-05 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-05 08:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Geography. Anthropology. Recreation
2012-01-05 06:00:00,1,London,England,United Kingdom,-0.0889,51.5133,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-05 22:00:00,1,Streetsville,Ontario,Canada,-79.7046,43.575,
2012-01-05 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Geography. Anthropology. Recreation
2012-01-05 09:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Fine Arts
2012-01-05 15:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Law
2012-01-05 23:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-05 20:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-05 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-05 12:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,Geography. Anthropology. Recreation
2012-01-05 13:00:00,1,Sudbury,Ontario,Canada,-81.01000000000002,46.49,Philosophy. Psychology. Religion
2012-01-05 13:00:00,1,Longueuil,Quebec,Canada,-73.5107,45.5374,Law
2012-01-05 06:00:00,1,Southampton,England,United Kingdom,-1.4032,50.905,Bibliography. Library Science. Information Resources (General)
2012-01-05 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-05 09:00:00,1,London,England,United Kingdom,-0.0889,51.5133,General Works
2012-01-05 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Geography. Anthropology. Recreation
2012-01-05 17:00:00,1,Regina,Saskatchewan,Canada,-104.61,50.45,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-05 10:00:00,1,Regina,Saskatchewan,Canada,-104.61,50.45,Social Sciences
2012-01-05 17:00:00,1,Edinburgh,Scotland,United Kingdom,-3.1875,55.9502,
2012-01-06 11:00:00,1,Edmonton,Alberta,Canada,-113.4905,53.5436,
2012-01-06 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-06 17:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-06 10:00:00,1,Peterborough,Ontario,Canada,-78.3199,44.309,
2012-01-06 19:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-06 15:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-06 17:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,General Works
2012-01-06 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Law
2012-01-06 14:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,Law
2012-01-06 05:00:00,1,Egham,England,United Kingdom,-0.5482,51.4308,
2012-01-06 17:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-06 08:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,
2012-01-06 10:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-06 20:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,Science
2012-01-06 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Geography. Anthropology. Recreation
2012-01-06 13:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Law
2012-01-06 16:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,Law
2012-01-06 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-06 16:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,Social Sciences
2012-01-06 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-06 19:00:00,1,Burnaby,British Columbia,Canada,-122.9738,49.2489,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-06 12:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Law
2012-01-06 16:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,
2012-01-07 10:00:00,1,Stockport,England,United Kingdom,-2.1493,53.4085,General Works
2012-01-07 19:00:00,1,Burnaby,British Columbia,Canada,-122.9738,49.2489,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-07 02:00:00,1,Burnaby,British Columbia,Canada,-122.9738,49.2489,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-07 08:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Technology
2012-01-07 10:00:00,1,Plymouth,England,United Kingdom,-4.1427,50.3704,Fine Arts
2012-01-07 07:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Social Sciences
2012-01-07 15:00:00,1,London,England,United Kingdom,-0.0889,51.5133,
2012-01-07 16:00:00,1,Fredericton,New Brunswick,Canada,-66.6456,45.9544,Language And Literature
2012-01-07 08:00:00,1,Egham,England,United Kingdom,-0.5482,51.4308,Language And Literature
2012-01-07 09:00:00,1,Colchester,England,United Kingdom,0.9012,51.8898,Language And Literature
2012-01-07 20:00:00,1,Richmond Hill,Ontario,Canada,-79.43040000000002,43.8849,Language And Literature
2012-01-07 10:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-07 08:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-07 20:00:00,1,Richmond Hill,Ontario,Canada,-79.43040000000002,43.8849,Bibliography. Library Science. Information Resources (General)
2012-01-07 03:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,Language And Literature
2012-01-08 08:00:00,1,Northampton,England,United Kingdom,-0.8974,52.2369,General Works
2012-01-08 08:00:00,1,Northampton,England,United Kingdom,-0.8974,52.2369,Agriculture
2012-01-08 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-08 05:00:00,1,Poplar,England,United Kingdom,-0.0105,51.5088,
2012-01-08 19:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Law
2012-01-08 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Philosophy. Psychology. Religion
2012-01-08 01:00:00,1,Burnaby,British Columbia,Canada,-122.9738,49.2489,"World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc."
2012-01-08 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Technology
2012-01-08 11:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Philosophy. Psychology. Religion
2012-01-08 01:00:00,1,Lethbridge,Alberta,Canada,-112.8418,49.6935,History Of The Americas
2012-01-08 08:00:00,1,Northampton,England,United Kingdom,-0.8974,52.2369,
2012-01-08 12:00:00,1,London,England,United Kingdom,-0.0889,51.5133,Language And Literature
2012-01-08 11:00:00,1,Collingwood,Ontario,Canada,-80.217,44.5008,Education
2012-01-08 23:00:00,1,Richmond Hill,Ontario,Canada,-79.43040000000002,43.8849,Education
2012-01-08 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-08 20:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,Language And Literature
2012-01-08 15:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-08 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-09 10:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,General Works
2012-01-09 11:00:00,1,Gloucester,England,United Kingdom,-2.2487,51.8667,Music And Books On Music
2012-01-09 19:00:00,1,Vancouver,British Columbia,Canada,-123.1088,49.2485,Technology
2012-01-09 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
2012-01-09 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Music And Books On Music
2012-01-09 11:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-09 17:00:00,1,Toronto,Ontario,Canada,-79.3817,43.6525,Language And Literature
2012-01-09 11:00:00,1,Ste-Foy,Quebec,Canada,-71.3,46.7833,
2012-01-09 17:00:00,1,Glasgow,Scotland,United Kingdom,-4.2572,55.8656,
2012-01-09 23:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-09 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-09 13:00:00,1,Plymouth,England,United Kingdom,-4.1427,50.3704,General Works
2012-01-09 12:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-09 17:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Language And Literature
2012-01-09 16:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Social Sciences
2012-01-09 01:00:00,1,Ottawa,Ontario,Canada,-75.6982,45.4116,
2012-01-09 17:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-09 22:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,Science
2012-01-09 13:00:00,1,Durham,North Carolina,United States,-78.8986,35.994,
